,indicID,indicName,nameEN,dyCD,parentID,isList,frequency,unit,statType,accuracy,region,country,currency,importance,infoSource,memoCN,dataApiID,dataApiName,beginDate,endDate,isUpdate
21,1010000025,GDP:不变价:第三产业:批发和零售业:累计同比,GDP: at Constant Prices: Wholesale and Retail Trades: Cumulative YoY,M010000025,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
22,1010000026,GDP:不变价:第三产业:住宿和餐饮业:累计同比,GDP: at Constant Prices: Hotels and Catering Services: Cumulative YoY,M010000026,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
23,1010000027,GDP:不变价:第三产业:金融业:累计同比,GDP: at Constant Prices: Financial Intermediation: Cumulative YoY,M010000027,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
24,1010000028,GDP:不变价:第三产业:房地产业:累计同比,GDP: at Constant Prices: Real Estate: Cumulative YoY,M010000028,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
25,1010000029,GDP:不变价:第三产业:其他服务业:累计同比,GDP: at Constant Prices: other Services: Cumulative YoY,M010000029,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
26,1010000030,GDP:现价:初步核算数:累计值,GDP: Preliminary Accounting Results: Cumulative,M010000030,M010000003,0,季,亿元,累计值(初值),2,全国,中国,人民币元,比较重要,国家统计局,按当年价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,1978-12-31,2021-12-31,1
27,1010000031,GDP:现价:第一产业:初步核算数:累计值,GDP: Preliminary Accounting Results: Primary Industry: Cumulative,M010000031,M010000003,0,季,亿元,累计值(初值),2,全国,中国,人民币元,比较重要,国家统计局,,2975,getEcoDataChina,1978-12-31,2021-12-31,1
28,1010000032,GDP:现价:第二产业:初步核算数:累计值,GDP: Preliminary Accounting Results: Secondary Industry: Cumulative,M010000032,M010000003,0,季,亿元,累计值(初值),2,全国,中国,人民币元,比较重要,国家统计局,,2975,getEcoDataChina,1992-12-31,2021-12-31,1
29,1010000033,GDP:现价:第三产业:初步核算数:累计值,GDP: Preliminary Accounting Results: Tertiary Industry: Cumulative,M010000033,M010000003,0,季,亿元,累计值(初值),2,全国,中国,人民币元,比较重要,国家统计局,,2975,getEcoDataChina,1978-12-31,2021-12-31,1
30,1010000034,GDP:不变价:初步核算数:累计同比,GDP: Preliminary Accounting Results: Cumulative YoY,M010000034,M010000003,0,季,%,累计同比(初值),2,全国,中国,,比较重要,国家统计局,按可比价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,1992-12-31,2021-12-31,1
31,1010000035,GDP:不变价:第一产业:初步核算数:累计同比,GDP: Preliminary Accounting Results: Primary Industry: Cumulative YoY,M010000035,M010000003,0,季,%,累计同比(初值),2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1992-12-31,2021-12-31,1
32,1010000036,GDP:不变价:第二产业:初步核算数:累计同比,GDP: Preliminary Accounting Results: Secondary Industry: Cumulative YoY,M010000036,M010000003,0,季,%,累计同比(初值),2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1993-12-31,2021-12-31,1
33,1010000037,GDP:不变价:第三产业:初步核算数:累计同比,GDP: Preliminary Accounting Results: Tertiary Industry: YoY,M010000037,M010000003,0,季,%,累计同比(初值),2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1992-12-31,2021-12-31,1
34,1010000039,GDP:不变价:初步核算数:当季同比,GDP: Preliminary Accounting Results: YoY,M010000039,M010000003,0,季,%,初值同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,2004-03-31,2021-12-31,1
35,1010000040,GDP:环比:季调,GDP: QoQ: Seasonal Adjustment,M010000040,M010000003,0,季,%,环比(季调),2,全国,中国,,比较重要,国家统计局,2011年4月15日开始发布,2975,getEcoDataChina,2010-12-31,2021-12-31,1
36,1010008397,GDP:现价:当季值,GDP: at Current Prices: Current Quarter,M010008397,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
